DOID:0014667	disease of metabolism	ENSPHENO:0001066	Metabolic syndrome	false	
DOID:10581	metachromatic leukodystrophy	ENSPHENO:0000991	METACHROMATIC LEUKODYSTROPHY	true	
DOID:10587	Krabbe disease	ENSPHENO:0000924	Leukodystrophy globoid cell	false	
DOID:10587	Krabbe disease	ENSPHENO:0000924	Leukodystrophy globoid cell	true	
DOID:10608	celiac disease	ENSPHENO:0000362	Celiac disease	false	
DOID:10608	celiac disease	ENSPHENO:0000362	Celiac disease	true	
DOID:10632	Wolfram syndrome	ENSPHENO:0001639	Wolfram syndrome	false	
DOID:10632	Wolfram syndrome	ENSPHENO:0001639	Wolfram syndrome	true	
DOID:10652	Alzheimer's disease	ENSPHENO:0000128	Alzheimer's disease	false	
DOID:10652	Alzheimer's disease	ENSPHENO:0000128	Alzheimer's disease	true	
DOID:10763	hypertension	ENSPHENO:0000814	Hypertension	false	
DOID:10763	hypertension	ENSPHENO:0000814	Hypertension	true	
DOID:10871	age related macular degeneration	ENSPHENO:0000112	Age-related macular degeneration	false	
DOID:10871	age related macular degeneration	ENSPHENO:0000112	Age-related macular degeneration	true	
DOID:10892	hypospadias	ENSPHENO:0000819	Hypospadias	false	
DOID:10892	hypospadias	ENSPHENO:0000819	Hypospadias	true	
DOID:10923	sickle cell anemia	ENSPHENO:0001434	SICKLE CELL ANEMIA	false	
DOID:10923	sickle cell anemia	ENSPHENO:0001434	SICKLE CELL ANEMIA	true	
DOID:1094	attention deficit hyperactivity disorder	ENSPHENO:0000150	Attention deficit hyperactivity disorder	false	
DOID:1094	attention deficit hyperactivity disorder	ENSPHENO:0000150	Attention deficit hyperactivity disorder	true	
DOID:10941	intracranial aneurysm	ENSPHENO:0000859	Intracranial aneurysm	false	
DOID:10941	intracranial aneurysm	ENSPHENO:0000859	Intracranial aneurysm	true	
DOID:11054	urinary bladder cancer	ENSPHENO:0000205	Bladder cancer	false	
DOID:11054	urinary bladder cancer	ENSPHENO:0000205	Bladder cancer	true	
DOID:11054	urinary bladder cancer	ENSPHENO:0001605	Urinary bladder cancer	false	
DOID:11054	urinary bladder cancer	ENSPHENO:0001605	Urinary bladder cancer	true	
DOID:11383	cryptorchidism	ENSPHENO:0000401	Cryptorchidism	false	
DOID:11383	cryptorchidism	ENSPHENO:0000401	Cryptorchidism	true	
DOID:11476	osteoporosis	ENSPHENO:0001243	Osteoporosis	false	
DOID:11476	osteoporosis	ENSPHENO:0001243	Osteoporosis	true	
DOID:11661	blue color blindness	ENSPHENO:0001552	TRITANOPIA	false	
DOID:11661	blue color blindness	ENSPHENO:0001552	TRITANOPIA	true	
DOID:11719	oculopharyngeal muscular dystrophy	ENSPHENO:0001212	OCULOPHARYNGEAL MUSCULAR DYSTROPHY	false	
DOID:11719	oculopharyngeal muscular dystrophy	ENSPHENO:0001212	OCULOPHARYNGEAL MUSCULAR DYSTROPHY	true	
DOID:11981	morbid obesity	ENSPHENO:0001208	OBESITY SEVERE	false	
DOID:11981	morbid obesity	ENSPHENO:0001208	OBESITY SEVERE	true	
DOID:11986	familial hypertrophic cardiomyopathy	ENSPHENO:0000262	CARDIOMYOPATHY FAMILIAL HYPERTROPHIC	false	
DOID:11986	familial hypertrophic cardiomyopathy	ENSPHENO:0000262	CARDIOMYOPATHY FAMILIAL HYPERTROPHIC	true	
DOID:1206	Rett syndrome	ENSPHENO:0001408	Rett syndrome	false	
DOID:1206	Rett syndrome	ENSPHENO:0001408	Rett syndrome	true	
DOID:12236	primary biliary cirrhosis	ENSPHENO:0001329	Primary biliary cirrhosis	false	
DOID:12236	primary biliary cirrhosis	ENSPHENO:0001329	Primary biliary cirrhosis	true	
DOID:12241	beta thalassemia	ENSPHENO:0000167	BETA-THALASSEMIA	false	
DOID:12241	beta thalassemia	ENSPHENO:0000167	BETA-THALASSEMIA	true	
DOID:12259	hemophilia B	ENSPHENO:0000728	HEMOPHILIA B	false	
DOID:12259	hemophilia B	ENSPHENO:0000728	HEMOPHILIA B	true	
DOID:12306	vitiligo	ENSPHENO:0001623	Vitiligo	false	
DOID:12306	vitiligo	ENSPHENO:0001623	Vitiligo	true	
DOID:12347	osteogenesis imperfecta	ENSPHENO:0001224	OSTEOGENESIS IMPERFECTA	false	
DOID:12347	osteogenesis imperfecta	ENSPHENO:0001224	OSTEOGENESIS IMPERFECTA	true	
DOID:12361	Graves' disease	ENSPHENO:0000618	Graves' disease	false	
DOID:12361	Graves' disease	ENSPHENO:0000618	Graves' disease	true	
DOID:12449	aplastic anemia	ENSPHENO:0000081	APLASTIC ANEMIA	false	
DOID:12449	aplastic anemia	ENSPHENO:0000081	APLASTIC ANEMIA	true	
DOID:12705	Friedreich ataxia	ENSPHENO:0000545	FRIEDREICH ATAXIA	false	
DOID:12705	Friedreich ataxia	ENSPHENO:0000545	FRIEDREICH ATAXIA	true	
DOID:12801	mucopolysaccharidosis III	ENSPHENO:0001015	MUCOPOLYSACCHARIDOSIS TYPE IIIB	false	
DOID:12801	mucopolysaccharidosis III	ENSPHENO:0001015	MUCOPOLYSACCHARIDOSIS TYPE IIIB	true	
DOID:12801	mucopolysaccharidosis III	ENSPHENO:0001414	SANFILIPPO SYNDROME A	false	
DOID:12801	mucopolysaccharidosis III	ENSPHENO:0001414	SANFILIPPO SYNDROME A	true	
DOID:12804	mucopolysaccharidosis IV	ENSPHENO:0001018	MUCOPOLYSACCHARIDOSIS TYPE IVA	false	
DOID:12804	mucopolysaccharidosis IV	ENSPHENO:0001018	MUCOPOLYSACCHARIDOSIS TYPE IVA	true	
DOID:12849	autistic disorder	ENSPHENO:0000154	Autism	false	
DOID:12849	autistic disorder	ENSPHENO:0000154	Autism	true	
DOID:12858	Huntington's disease	ENSPHENO:0000751	HUNTINGTON DISEASE	false	
DOID:12858	Huntington's disease	ENSPHENO:0000751	HUNTINGTON DISEASE	true	
DOID:12930	dilated cardiomyopathy	ENSPHENO:0000443	Dilated cardiomyopathy	false	
DOID:12930	dilated cardiomyopathy	ENSPHENO:0000443	Dilated cardiomyopathy	true	
DOID:13099	Moyamoya disease	ENSPHENO:0001077	Moyamoya disease	false	
DOID:13099	Moyamoya disease	ENSPHENO:0001077	Moyamoya disease	true	
DOID:13223	uterine fibroid	ENSPHENO:0001608	Uterine fibroids	true	
DOID:1324	lung cancer	ENSPHENO:0000947	Lung cancer	false	
DOID:1324	lung cancer	ENSPHENO:0000947	Lung cancer	true	
DOID:13608	biliary atresia	ENSPHENO:0000198	Biliary atresia	false	
DOID:13608	biliary atresia	ENSPHENO:0000198	Biliary atresia	true	
DOID:13636	Fanconi's anemia	ENSPHENO:0000563	Fanconi anemia	false	
DOID:13636	Fanconi's anemia	ENSPHENO:0000563	Fanconi anemia	true	
DOID:1380	endometrial cancer	ENSPHENO:0000474	ENDOMETRIAL CANCER	false	
DOID:1380	endometrial cancer	ENSPHENO:0000474	ENDOMETRIAL CANCER	true	
DOID:13810	familial hypercholesterolemia	ENSPHENO:0000558	Familial hypercholesterolemia	false	
DOID:13810	familial hypercholesterolemia	ENSPHENO:0000558	Familial hypercholesterolemia	true	
DOID:13994	cleidocranial dysplasia	ENSPHENO:0000309	CLEIDOCRANIAL DYSPLASIA	false	
DOID:13994	cleidocranial dysplasia	ENSPHENO:0000309	CLEIDOCRANIAL DYSPLASIA	true	
DOID:14175	von Hippel-Lindau disease	ENSPHENO:0001617	VON HIPPEL-LINDAU SYNDROME	false	
DOID:14175	von Hippel-Lindau disease	ENSPHENO:0001617	VON HIPPEL-LINDAU SYNDROME	true	
DOID:14175	von Hippel-Lindau disease	ENSPHENO:0001625	Von Hippel-Lindau disease	false	
DOID:14175	von Hippel-Lindau disease	ENSPHENO:0001625	Von Hippel-Lindau disease	true	
DOID:14323	Marfan syndrome	ENSPHENO:0001055	Marfan syndrome	false	
DOID:14323	Marfan syndrome	ENSPHENO:0001055	Marfan syndrome	true	
DOID:14330	Parkinson's disease	ENSPHENO:0001307	Parkinson disease	false	
DOID:14330	Parkinson's disease	ENSPHENO:0001307	Parkinson disease	true	
DOID:14330	Parkinson's disease	ENSPHENO:0001309	Parkinson's disease	false	
DOID:14330	Parkinson's disease	ENSPHENO:0001309	Parkinson's disease	true	
DOID:14499	Fabry disease	ENSPHENO:0000553	Fabry disease	false	
DOID:14499	Fabry disease	ENSPHENO:0000553	Fabry disease	true	
DOID:14500	fucosidosis	ENSPHENO:0000549	FUCOSIDOSIS	false	
DOID:14500	fucosidosis	ENSPHENO:0000549	FUCOSIDOSIS	true	
DOID:14504	Niemann-Pick disease	ENSPHENO:0001176	NIEMANN-PICK DISEASE TYPE A	false	
DOID:14504	Niemann-Pick disease	ENSPHENO:0001176	NIEMANN-PICK DISEASE TYPE A	true	
DOID:14504	Niemann-Pick disease	ENSPHENO:0001177	NIEMANN-PICK DISEASE TYPE B	false	
DOID:14504	Niemann-Pick disease	ENSPHENO:0001177	NIEMANN-PICK DISEASE TYPE B	true	
DOID:14686	Axenfeld-Rieger syndrome	ENSPHENO:0001384	RIEGER ANOMALY	false	
DOID:14686	Axenfeld-Rieger syndrome	ENSPHENO:0001384	RIEGER ANOMALY	true	
DOID:14692	Smith-Lemli-Opitz syndrome	ENSPHENO:0001503	Smith-Lemli-Opitz syndrome	false	
DOID:14692	Smith-Lemli-Opitz syndrome	ENSPHENO:0001503	Smith-Lemli-Opitz syndrome	true	
DOID:14695	galactokinase deficiency	ENSPHENO:0000572	GALACTOKINASE DEFICIENCY	false	
DOID:14695	galactokinase deficiency	ENSPHENO:0000572	GALACTOKINASE DEFICIENCY	true	
DOID:1470	major depressive disorder	ENSPHENO:0001051	Major depressive disorder	false	
DOID:1470	major depressive disorder	ENSPHENO:0001051	Major depressive disorder	true	
DOID:14737	craniofrontonasal syndrome	ENSPHENO:0000395	Craniofrontonasal syndrome	false	
DOID:14737	craniofrontonasal syndrome	ENSPHENO:0000395	Craniofrontonasal syndrome	true	
DOID:14743	trichorhinophalangeal syndrome type I	ENSPHENO:0001550	TRICHORHINOPHALANGEAL SYNDROME TYPE I	false	
DOID:14743	trichorhinophalangeal syndrome type I	ENSPHENO:0001550	TRICHORHINOPHALANGEAL SYNDROME TYPE I	true	
DOID:14749	methylmalonic acidemia	ENSPHENO:0001069	Methylmalonic aciduria type cblB	false	
DOID:14749	methylmalonic acidemia	ENSPHENO:0001069	Methylmalonic aciduria type cblB	true	
DOID:14753	isovaleric acidemia	ENSPHENO:0000849	ISOVALERIC ACIDEMIA	false	
DOID:14753	isovaleric acidemia	ENSPHENO:0000849	ISOVALERIC ACIDEMIA	true	
DOID:14755	argininosuccinic aciduria	ENSPHENO:0000084	ARGININOSUCCINIC ACIDURIA	false	
DOID:14755	argininosuccinic aciduria	ENSPHENO:0000084	ARGININOSUCCINIC ACIDURIA	true	
DOID:14766	renal agenesis	ENSPHENO:0001356	RENAL AGENESIS	false	
DOID:14766	renal agenesis	ENSPHENO:0001356	RENAL AGENESIS	true	
DOID:14768	Saethre-Chotzen syndrome	ENSPHENO:0001413	SAETHRE-CHOTZEN SYNDROME	false	
DOID:14768	Saethre-Chotzen syndrome	ENSPHENO:0001413	SAETHRE-CHOTZEN SYNDROME	true	
DOID:14784	olivopontocerebellar atrophy	ENSPHENO:0001451	SPINOCEREBELLAR ATAXIA 1	false	
DOID:14784	olivopontocerebellar atrophy	ENSPHENO:0001451	SPINOCEREBELLAR ATAXIA 1	true	
DOID:1485	cystic fibrosis	ENSPHENO:0000402	Cystic fibrosis	false	
DOID:1485	cystic fibrosis	ENSPHENO:0000402	Cystic fibrosis	true	
DOID:1612	breast cancer	ENSPHENO:0000014	A breast cancer sample	false	
DOID:1612	breast cancer	ENSPHENO:0000014	A breast cancer sample	true	
DOID:1612	breast cancer	ENSPHENO:0000250	Breast cancer	false	
DOID:1612	breast cancer	ENSPHENO:0000250	Breast cancer	true	
DOID:1686	glaucoma	ENSPHENO:0000609	Glaucoma	false	
DOID:1686	glaucoma	ENSPHENO:0000609	Glaucoma	true	
DOID:1749	squamous cell carcinoma	ENSPHENO:0001512	Squamous cell carcinoma	false	
DOID:1749	squamous cell carcinoma	ENSPHENO:0001512	Squamous cell carcinoma	true	
DOID:1793	pancreatic cancer	ENSPHENO:0001305	Pancreatic cancer	false	
DOID:1793	pancreatic cancer	ENSPHENO:0001305	Pancreatic cancer	true	
DOID:1838	Menkes disease	ENSPHENO:0000979	MENKES DISEASE	false	
DOID:1838	Menkes disease	ENSPHENO:0000979	MENKES DISEASE	true	
DOID:1849	cannabis dependence	ENSPHENO:0000352	Cannabis dependence	false	
DOID:1849	cannabis dependence	ENSPHENO:0000352	Cannabis dependence	true	
DOID:1856	cherubism	ENSPHENO:0000371	Cherubism	false	
DOID:1856	cherubism	ENSPHENO:0000371	Cherubism	true	
DOID:1909	melanoma	ENSPHENO:0001062	Melanoma	false	
DOID:1909	melanoma	ENSPHENO:0001062	Melanoma	true	
DOID:1921	Klinefelter's syndrome	ENSPHENO:0000770	HYPOGONADOTROPIC HYPOGONADISM	false	
DOID:1921	Klinefelter's syndrome	ENSPHENO:0000770	HYPOGONADOTROPIC HYPOGONADISM	true	
DOID:1926	Gaucher's disease	ENSPHENO:0000604	Gaucher disease	false	
DOID:1926	Gaucher's disease	ENSPHENO:0000604	Gaucher disease	true	
DOID:1935	Bardet-Biedl syndrome	ENSPHENO:0000155	BARDET-BIEDL SYNDROME	false	
DOID:1935	Bardet-Biedl syndrome	ENSPHENO:0000155	BARDET-BIEDL SYNDROME	true	
DOID:2043	hepatitis B	ENSPHENO:0000802	Hepatitis B	false	
DOID:2043	hepatitis B	ENSPHENO:0000802	Hepatitis B	true	
DOID:219	colon cancer	ENSPHENO:0000015	A colon cancer sample	false	
DOID:219	colon cancer	ENSPHENO:0000015	A colon cancer sample	true	
DOID:2217	Bernard-Soulier syndrome	ENSPHENO:0000197	Bernard-Soulier syndrome	false	
DOID:2217	Bernard-Soulier syndrome	ENSPHENO:0000197	Bernard-Soulier syndrome	true	
DOID:2229	factor XI deficiency	ENSPHENO:0000554	Factor XI deficiency	false	
DOID:2229	factor XI deficiency	ENSPHENO:0000554	Factor XI deficiency	true	
DOID:2377	multiple sclerosis	ENSPHENO:0001144	Multiple sclerosis	false	
DOID:2377	multiple sclerosis	ENSPHENO:0001144	Multiple sclerosis	true	
DOID:2394	ovarian cancer	ENSPHENO:0001245	Ovarian cancer	false	
DOID:2394	ovarian cancer	ENSPHENO:0001245	Ovarian cancer	true	
DOID:2565	macular corneal dystrophy	ENSPHENO:0001049	Macular corneal dystrophy	false	
DOID:2565	macular corneal dystrophy	ENSPHENO:0001049	Macular corneal dystrophy	true	
DOID:2738	pseudoxanthoma elasticum	ENSPHENO:0001337	Pseudoxanthoma elasticum	false	
DOID:2738	pseudoxanthoma elasticum	ENSPHENO:0001337	Pseudoxanthoma elasticum	true	
DOID:2739	Gilbert syndrome	ENSPHENO:0000608	Gilbert syndrome	false	
DOID:2739	Gilbert syndrome	ENSPHENO:0000608	Gilbert syndrome	true	
DOID:2748	glycogen storage disease III	ENSPHENO:0000588	GLYCOGEN STORAGE DISEASE III	false	
DOID:2748	glycogen storage disease III	ENSPHENO:0000588	GLYCOGEN STORAGE DISEASE III	true	
DOID:2754	glycogen storage disease VI	ENSPHENO:0000593	GLYCOGEN STORAGE DISEASE VI	false	
DOID:2754	glycogen storage disease VI	ENSPHENO:0000593	GLYCOGEN STORAGE DISEASE VI	true	
DOID:2841	asthma	ENSPHENO:0000143	Asthma	false	
DOID:2841	asthma	ENSPHENO:0000143	Asthma	true	
DOID:2908	Treacher Collins syndrome	ENSPHENO:0001549	TREACHER COLLINS SYNDROME	false	
DOID:2908	Treacher Collins syndrome	ENSPHENO:0001549	TREACHER COLLINS SYNDROME	true	
DOID:2935	Chediak-Higashi syndrome	ENSPHENO:0000370	Chediak-Higashi syndrome	false	
DOID:2935	Chediak-Higashi syndrome	ENSPHENO:0000370	Chediak-Higashi syndrome	true	
DOID:2987	familial Mediterranean fever	ENSPHENO:0000526	FAMILIAL MEDITERRANEAN FEVER	false	
DOID:2987	familial Mediterranean fever	ENSPHENO:0000526	FAMILIAL MEDITERRANEAN FEVER	true	
DOID:3012	Li-Fraumeni syndrome	ENSPHENO:0000926	Li-Fraumeni syndrome	false	
DOID:3012	Li-Fraumeni syndrome	ENSPHENO:0000926	Li-Fraumeni syndrome	true	
DOID:3070	malignant glioma	ENSPHENO:0000613	Glioma	false	
DOID:3070	malignant glioma	ENSPHENO:0000613	Glioma	true	
DOID:3083	chronic obstructive pulmonary disease	ENSPHENO:0000378	Chronic obstructive pulmonary disease	false	
DOID:3083	chronic obstructive pulmonary disease	ENSPHENO:0000378	Chronic obstructive pulmonary disease	true	
DOID:3312	bipolar disorder	ENSPHENO:0000203	Bipolar disorder	false	
DOID:3312	bipolar disorder	ENSPHENO:0000203	Bipolar disorder	true	
DOID:332	amyotrophic lateral sclerosis	ENSPHENO:0000135	Amyotrophic lateral sclerosis	false	
DOID:332	amyotrophic lateral sclerosis	ENSPHENO:0000135	Amyotrophic lateral sclerosis	true	
DOID:3320	Tay-Sachs disease	ENSPHENO:0001527	TAY-SACHS DISEASE	false	
DOID:3320	Tay-Sachs disease	ENSPHENO:0001527	TAY-SACHS DISEASE	true	
DOID:3389	Papillon-Lefevre disease	ENSPHENO:0001254	PAPILLON-LEFEVRE SYNDROME	false	
DOID:3389	Papillon-Lefevre disease	ENSPHENO:0001254	PAPILLON-LEFEVRE SYNDROME	true	
DOID:3393	coronary heart disease	ENSPHENO:0000392	Coronary heart disease	false	
DOID:3393	coronary heart disease	ENSPHENO:0000392	Coronary heart disease	true	
DOID:3443	mammary Paget's disease	ENSPHENO:0001302	Paget's disease	false	
DOID:3443	mammary Paget's disease	ENSPHENO:0001302	Paget's disease	true	
DOID:3455	cerebrovascular accident	ENSPHENO:0001514	Stroke	false	
DOID:3455	cerebrovascular accident	ENSPHENO:0001514	Stroke	true	
DOID:3529	central core myopathy	ENSPHENO:0000279	CENTRAL CORE DISEASE	false	
DOID:3529	central core myopathy	ENSPHENO:0000279	CENTRAL CORE DISEASE	true	
DOID:3613	Canavan disease	ENSPHENO:0000349	Canavan disease	false	
DOID:3613	Canavan disease	ENSPHENO:0000349	Canavan disease	true	
DOID:3651	pyruvate carboxylase deficiency disease	ENSPHENO:0001349	Pyruvate carboxylase deficiency	true	
DOID:3762	cytochrome-c oxidase deficiency	ENSPHENO:0001074	Mitochondrial complex IV deficiency	false	
DOID:3762	cytochrome-c oxidase deficiency	ENSPHENO:0001074	Mitochondrial complex IV deficiency	true	
DOID:3890	acute intermittent porphyria	ENSPHENO:0001282	PORPHYRIA ACUTE INTERMITTENT	true	
DOID:3905	lung carcinoma	ENSPHENO:0000947	Lung cancer	false	
DOID:3905	lung carcinoma	ENSPHENO:0000947	Lung cancer	true	
DOID:3905	lung carcinoma	ENSPHENO:0000949	Lung carcinoma	false	
DOID:3905	lung carcinoma	ENSPHENO:0000949	Lung carcinoma	true	
DOID:3911	progeria	ENSPHENO:0000813	Hutchinson-Gilford progeria syndrome	false	
DOID:3911	progeria	ENSPHENO:0000813	Hutchinson-Gilford progeria syndrome	true	
DOID:399	tuberculosis	ENSPHENO:0001573	Tuberculosis	false	
DOID:399	tuberculosis	ENSPHENO:0001573	Tuberculosis	true	
DOID:418	systemic scleroderma	ENSPHENO:0001525	Systemic sclerosis	false	
DOID:418	systemic scleroderma	ENSPHENO:0001525	Systemic sclerosis	true	
DOID:4249	Gerstmann-Straussler-Scheinker disease	ENSPHENO:0000577	GERSTMANN-STRAUSSLER DISEASE	false	
DOID:4249	Gerstmann-Straussler-Scheinker disease	ENSPHENO:0000577	GERSTMANN-STRAUSSLER DISEASE	true	
DOID:4252	Alexander disease	ENSPHENO:0000123	Alexander disease	false	
DOID:4252	Alexander disease	ENSPHENO:0000123	Alexander disease	true	
DOID:4450	renal cell carcinoma	ENSPHENO:0001395	Renal cell carcinoma	false	
DOID:4450	renal cell carcinoma	ENSPHENO:0001395	Renal cell carcinoma	true	
DOID:4481	allergic rhinitis	ENSPHENO:0000054	ALLERGIC RHINITIS	false	
DOID:4481	allergic rhinitis	ENSPHENO:0000054	ALLERGIC RHINITIS	true	
DOID:4603	epidermolytic hyperkeratosis	ENSPHENO:0000252	Bullous congenital ichthyosiform erythroderma	false	
